"","MSSubClass","MSZoning","Street","LotShape","LandContour","LotConfig","LandSlope","BldgType","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","FireplaceQu","GarageType","GarageFinish","GarageQual","PavedDrive","MoSold","SaleType","SaleCondition","Remod","IsNew","Location","Amenities1","Amenities2","Railroad","Amenities","NeighRich"
"1","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"2","WD","Normal",0,0,3,0,0,0,0,1
"2","1 story 1946+","RL",1,4,"Lvl","FR2",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",4,3,4,5,1,"GasA",5,1,"SBrkr",3,3,"Attchd",2,3,2,"5","WD","Normal",0,0,4,0,0,0,0,1
"3","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,2,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"9","WD","Normal",1,0,3,0,0,0,0,1
"5","2 story 1946+","RL",1,3,"Lvl","FR2",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"12","WD","Normal",0,0,4,0,0,0,0,2
"6","1,5 story fin","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","Wood",4,3,1,6,1,"GasA",5,1,"SBrkr",3,0,"Attchd",1,3,2,"10","WD","Normal",1,0,2,0,0,0,0,1
"7","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",5,3,3,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"8","WD","Normal",1,0,4,0,0,0,0,1
"8","2 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","Stone","CBlock",4,3,2,5,4,"GasA",5,1,"SBrkr",3,3,"Attchd",2,3,2,"11","WD","Normal",0,0,3,1,0,0,1,1
"10","2 family conversion","RL",1,4,"Lvl","Corner",2,"2fmCon","Gable","CompShg","MetalSd","MetalSd","None","BrkTil",3,3,1,6,1,"GasA",5,1,"SBrkr",3,3,"Attchd",2,4,2,"1","WD","Normal",1,0,2,0,0,1,0,1
"11","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","None","CBlock",3,3,1,3,1,"GasA",5,1,"SBrkr",3,0,"Detchd",1,3,2,"2","WD","Normal",0,0,1,0,0,0,0,1
"12","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","WdShing","Wd Shng","Stone","PConc",5,3,1,6,1,"GasA",5,1,"SBrkr",5,4,"BuiltIn",3,3,2,"7","New","Partial",1,0,4,0,0,0,0,2
"13","1 story 1946+","RL",1,2,"Lvl","Inside",2,"1Fam","Hip","CompShg","HdBoard","Plywood","None","CBlock",3,3,1,5,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"9","WD","Normal",0,0,1,0,0,0,0,1
