"","LotFrontage","LotArea","MasVnrArea","GrLivArea","BedroomAbvGr","KitchenAbvGr","Fireplaces","GarageCars","WoodDeckSF","TotBathrooms","Age","HouseQC","TotalSqFeet","TotalPorchSF","PricePerSF"
"1",4.18965474202643,9.04204005654448,5.28320372873799,7.44483327389219,3,0.693147180559945,0,2,0,3.5,5,7.2,7.79028238070348,4.12713438504509,4.46934666987355
"2",4.39444915467244,9.16962253869762,0,7.14124512235049,3,0.693147180559945,1,2,5.70044357339069,2.5,31,7.2,7.71467747380093,0,4.40704584897637
"3",4.23410650459726,9.32821229257107,5.09375020080676,7.48829351515943,3,0.693147180559945,1,2,0,3.5,6,7.2,7.72885582385254,3.76120011569356,4.59886513962462
"5",4.44265125649032,9.56528381773677,5.86078622346587,7.69575799055476,4,0.693147180559945,1,3,5.26269018890489,3.5,8,7.4,7.95647679803678,4.44265125649032,4.48443721996619
"6",4.45434729625351,9.55506418479516,0,7.21744343169653,1,0.693147180559945,0,2,3.71357206670431,2.5,14,6.4,7.64730883235624,5.86078622346587,4.23830569579427
"7",4.33073334028633,9.21880445038831,5.23110861685459,7.43543801981455,3,0.693147180559945,1,2,5.54517744447956,3,2,7.4,8.02747653086048,4.06044301054642,4.61738067478744
"8",4.39444915467244,9.24792513230345,5.48479693349065,7.64539769942863,3,0.693147180559945,2,2,5.46383180502561,3.5,36,7,8.00034949532468,6.07073772800249,4.22085356390636
"10",3.93182563272433,8.91206909797013,0,6.98286275146894,2,1.09861228866811,2,1,0,2,58,6.6,7.56475701290573,1.6094379124341,4.13040836652166
"11",4.26267987704132,9.32375833901174,0,6.94793706861497,3,0.693147180559945,0,1,0,2,43,6.4,7.5740450053722,0,4.21282013712786
"12",4.45434729625351,9.38639231575654,5.65948221575962,7.75147531802146,4,0.693147180559945,2,3,4.99721227376411,4,0,8,8.1086232683546,3.09104245335832,4.65256032812523
"13",4.29045944114839,9.47031717333574,0,6.81673588059497,2,0.693147180559945,0,1,4.94875989037817,2,46,6.6,7.40853056689463,5.17614973257383,4.4810305740303
"14",4.52178857704904,9.2735968216112,5.7268477475872,7.30988148582479,3,0.693147180559945,1,3,5.08140436498446,2,0,7.2,7.30988148582479,3.52636052461616,5.23687623008199
"15",4.30406509320417,9.29844282019773,5.36129216570943,7.13409372119287,2,0.693147180559945,1,1,0,2.5,48,6.6,7.59438124255182,5.96614673912369,4.38269358240613
"16",3.95124371858143,8.71948076085107,0,6.75110146893676,2,0.693147180559945,0,2,3.89182029811063,1,6,7.4,6.75110146893676,4.72738781871234,5.04707486609177
"17",4.30406509320417,9.32741204356202,5.19849703126583,6.91274282049318,2,0.693147180559945,1,2,0,2,40,7,7.36707705988101,0,4.55581791696467
"18",4.29045944114839,9.28656039788759,0,7.16780918431644,2,1.09861228866811,0,2,0,2,39,6.2,7.16780918431644,0,4.25482437710101
"19",4.20469261939097,9.52485909838152,0,7.01660968389422,3,0.693147180559945,0,2,0,2.5,4,6.4,7.47363710849621,4.63472898822964,4.51459876053094
"21",4.62497281328427,9.56212336983449,5.9427993751267,7.77359446736019,4,0.693147180559945,1,3,5.48479693349065,3.5,0,7.4,7.77359446736019,5.04342511691925,4.92660691380493
"22",4.06044301054642,8.9159693113736,0,7.01121398735037,3,0.693147180559945,1,1,0,1,57,7.2,7.01121398735037,5.32787616878958,4.8427078383295
"23",4.33073334028633,9.18430435742534,5.64190707093811,7.49331724886215,3,0.693147180559945,1,2,5.14749447681345,2,6,7.4,7.49331724886215,5.07517381523383,4.86084833841353
"24",3.80666248977032,8.34877453979127,0,6.96696713861398,3,0.693147180559945,1,2,4.61512051684126,2,31,6.8,7.55013534248843,4.70953020131233,4.23943173589601
"25",4.29045944114839,9.01760477683336,0,6.96696713861398,3,0.693147180559945,1,1,6.00881318544259,2,9,7.4,7.55851674304564,4.51085950651685,4.39907772113993
"26",4.70953020131233,9.56317796268366,6.46302945692067,7.37838371299671,3,0.693147180559945,1,3,0,2,2,7.4,7.37838371299671,4.04305126783455,5.08256828364156
"27",4.11087386417331,8.88197518424887,0,6.80350525760834,3,0.693147180559945,0,2,5.40717177146012,1.5,10,6.8,7.39079852173568,3.49650756146648,4.43331221298228
"28",4.59511985013459,9.3482745580655,5.30330490805908,7.44132038971762,3,0.693147180559945,1,3,0,3,2,7.4,7.98036576511125,3.93182563272433,4.66082050451967
"29",3.87120101090789,9.70026917002919,0,7.37838371299671,2,0.693147180559945,2,1,5.66642668811243,2,9,6.6,7.96485088744731,5.55682806169954,4.29215307472941
"30",4.11087386417331,8.75226531359572,0,6.25575004175337,1,0.693147180559945,0,1,3.91202300542815,1,58,6.4,6.25575004175337,4.47733681447821,4.88832278507652
"32",4.29045944114839,9.05310159554969,0,7.11395610956603,3,0.693147180559945,0,1,0,1.5,2,6.6,7.11395610956603,4.18965474202643,4.80909439263246
"33",4.45434729625351,9.3101857069459,0,7.11882624906208,3,0.693147180559945,0,2,0,2,1,7.4,7.11882624906208,3.43398720448515,4.98897616336416
"34",4.26267987704132,9.26416545867109,0,7.43897159239586,4,0.693147180559945,1,2,0,2,51,6.4,7.90801944463247,3.66356164612965,4.12536444154194
"35",4.11087386417331,8.89754559870933,5.50938833662798,7.35372233039963,2,0.693147180559945,1,2,5.31811999384422,3,2,8,7.90654723236804,3.87120101090789,4.63713003555326
"36",4.69134788222914,9.50442689210096,4.89034912822175,7.80506704425849,4,0.693147180559945,1,3,4.7361984483945,3.5,1,7.4,7.80506704425849,3.49650756146648,4.84434121518207
"37",4.72738781871234,9.29284159348793,0,7.00124562206948,3,0.693147180559945,0,2,5.97380961186926,1.5,14,6.4,7.00124562206948,4.17438726989564,4.89169160337183
"38",4.31748811353631,9.05169627853659,6.47850964220857,7.16857989726403,3,0.693147180559945,1,2,0,1.5,19,6.6,7.82843635915759,0,4.12642728508955
"40",4.18965474202643,8.70632484013874,0,7.05012252026906,2,1.09861228866811,0,0,0,2,53,6.2,7.05012252026906,0,4.27917069599239
"42",4.75359019110636,9.73542386748887,0,7.19218205871325,2,0.693147180559945,2,1,0,2,48,7,7.73892375743946,4.65396035015752,4.31847528044767
"43",4.21950770517611,9.1248914101437,0,6.78558764500793,2,0.693147180559945,0,2,5.48479693349065,2,24,6.8,7.45298232946546,0,4.43706724942605
"44",4.26267987704132,9.12706745278236,0,6.84481547920826,3,0.693147180559945,0,1,4.98360662170834,2,28,6.6,7.44424864949671,0,4.34658286414426
"45",4.26267987704132,8.98042393637454,0,7.04838640872188,3,0.693147180559945,0,1,0,2,47,6.6,7.51534457118044,0,4.35464563640655
"46",4.12713438504509,8.94363670590959,6.02344759296103,7.46908388492123,2,0.693147180559945,1,2,5.28320372873799,3,5,8,7.70029520342012,4.4188406077966,4.98279976462101
"48",4.44265125649032,9.31443008050056,0,7.41276401742656,3,0.693147180559945,0,3,0,2,1,7.4,7.42714413340862,4.99043258677874,5.00817194508152
