"","LotFrontage","LotArea","GrLivArea","BedroomAbvGr","Fireplaces","GarageArea","WoodDeckSF","SalePrice","TotBathrooms","Age","HouseQC","TotalSqFeet","TotalPorchSF","LandContourLvl","CentralAir","KitchenQual","GarageQual","Remod","IsNew","Location","Railroad","Amenities","NeighRich","Two_Story_dum","BsmtQC","FlatRoof_dum"
"1",-0.0503770242000872,-0.104449483340181,0.549314868273289,0.17760987564456,-0.949322365529688,0.323488833394913,-0.963702640901991,0.517881082394688,1.57000725636286,-0.849156503452524,0.484921255837449,0.694719926035346,0.431236617817528,1,1,4,3,0,0,3,0,0,1,1,2.66666666666667,0
"2",0.5709100822354,0.145169811804646,-0.394659919608422,0.17760987564456,0.603372988152612,-0.0913112530986061,1.22958857351544,0.159990073690677,0.319255920500502,0.415809480371489,0.484921255837449,0.48330020074003,-1.47489243038047,1,1,3,3,0,0,4,0,0,1,0,3.66666666666667,0
"3",0.0844767864423321,0.45545584724613,0.684449826021764,0.17760987564456,0.603372988152612,0.606307074185948,-0.963702640901991,0.697163913155077,1.57000725636286,-0.800503965613139,0.484921255837449,0.522948194446534,0.262228808653485,1,1,4,3,1,0,3,0,0,1,1,3,0
"5",0.71714133911203,0.919294032646359,1.32953835520107,1.41070343936435,0.603372988152612,1.68101638919188,1.06115946095375,0.986322890494556,1.57000725636286,-0.703198889934369,0.82083812578691,1.15946195797128,0.576959004769008,1,1,4,3,0,0,4,0,0,2,1,3.33333333333333,0
"6",0.752623746113961,0.899298986865226,-0.157729451352008,-2.28857725179501,-0.949322365529688,0.00296149383173908,0.465123885164968,-0.455260759668472,0.319255920500502,-0.411283662898058,-0.858746223960395,0.294912168120505,1.23192877377203,1,1,3,3,1,0,2,0,0,1,1,2.66666666666667,0
"7",0.377614701552581,0.241395829067492,0.520101333654104,0.17760987564456,0.603372988152612,0.738288919888432,1.1698486897585,1.51635185315569,0.944631588431683,-0.995114116970679,0.82083812578691,1.35800388632753,0.400435012069771,1,1,4,3,1,0,4,0,0,1,0,3.66666666666667,0
"8",0.5709100822354,0.298371394765212,1.17294843266281,0.17760987564456,2.15606834183491,0.0218160432178081,1.13855030498396,0.410470763916968,1.57000725636286,0.659072169568415,0.149004385887988,1.28214650304357,1.32889548824594,1,1,3,3,0,0,3,0,1,1,1,3,0
"10",-0.832556084670945,-0.358741910647592,-0.887132910395006,-1.05548368807522,2.15606834183491,-1.29328877646051,-0.963702640901991,-0.951154053742667,-0.306119747430679,1.72942800203489,-0.522829354010935,0.0640662653095974,-0.731568838282738,1,1,3,4,1,0,2,1,0,1,0,2.33333333333333,0
"11",0.171160146879297,0.446741541572457,-0.995730574356125,0.17760987564456,-0.949322365529688,-0.449547691433918,-0.963702640901991,-0.711165497152849,-0.306119747430679,0.99963993444411,-0.858746223960395,0.090038981846859,-1.47489243038047,1,1,3,3,0,0,1,0,0,1,0,2.33333333333333,0
"12",0.752623746113961,0.569286963665659,1.5027854075304,1.41070343936435,2.15606834183491,1.20965265454016,0.959014711794555,1.81750382199453,2.19538292429404,-1.09241919264945,1.82858873563529,1.58492065208359,-0.0472854615089878,1,1,5,3,1,0,4,0,0,2,1,3,0
"13",0.255435322061719,0.733488689800004,-1.40368659306786,-1.05548368807522,-0.949322365529688,-0.60038408652247,0.940372270126675,-0.437277210333211,-0.306119747430679,1.14559754796227,-0.522829354010935,-0.372801573732928,0.915727414428262,1,1,3,3,0,0,1,0,0,1,0,2.33333333333333,0
"14",0.957221116024558,0.348598893729248,0.12969676108346,0.17760987564456,0.603372988152612,1.69987093857795,0.991408291630867,1.27417070055137,-0.306119747430679,-1.09241919264945,0.484921255837449,-0.648661467949871,0.153767458850677,1,1,4,3,1,0,3,0,0,1,0,3.33333333333333,0
"15",0.296710941292182,0.397210901817432,-0.41689643429631,-1.05548368807522,0.603372988152612,-0.60038408652247,-0.963702640901991,-0.214226918771528,0.319255920500502,1.24290262364104,-0.522829354010935,0.146906741549236,1.28058983510219,1,1,3,3,0,0,2,0,0,1,0,2.33333333333333,0
"16",-0.773647219830342,-0.735547285127381,-1.60776975477283,-1.05548368807522,-0.949322365529688,0.455470679097396,0.533706316496076,-0.661821218813193,-1.55687108329304,-0.800503965613139,0.82083812578691,-2.2112203349721,0.708465416167218,1,1,3,3,1,0,2,0,0,1,0,2.33333333333333,0
