"","LotFrontage","LotArea","Street","LotShape","LandSlope","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","MiscVal","YrSold","SalePrice"
"1",65,8450,1,4,2,7,5,2003,2003,196,4,3,4,3,1,6,706,1,0,150,856,5,1,856,854,0,1710,1,0,2,1,3,1,4,8,7,0,0,2003,2,2,548,3,3,2,0,61,0,0,0,0,0,0,2008,208500
"2",80,9600,1,4,2,6,8,1976,1976,0,3,3,4,3,4,5,978,1,0,284,1262,5,1,1262,0,0,1262,0,1,2,0,3,1,3,6,7,1,3,1976,2,2,460,3,3,2,298,0,0,0,0,0,0,0,2007,181500
"3",68,11250,1,3,2,7,5,2001,2002,162,4,3,4,3,2,6,486,1,0,434,920,5,1,920,866,0,1786,1,0,2,1,3,1,4,6,7,1,3,2001,2,2,608,3,3,2,0,42,0,0,0,0,0,0,2008,223500
"4",60,9550,1,3,2,7,5,1915,1970,0,3,3,3,4,1,5,216,1,0,540,756,4,1,961,756,0,1717,1,0,1,0,3,1,4,7,7,1,4,1998,1,3,642,3,3,2,0,35,272,0,0,0,0,0,2006,140000
"5",84,14260,1,3,2,8,5,2000,2000,350,4,3,4,3,3,6,655,1,0,490,1145,5,1,1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,3,2000,2,3,836,3,3,2,192,84,0,0,0,0,0,0,2008,250000
"6",85,14115,1,3,2,5,5,1993,1995,0,3,3,4,3,1,6,732,1,0,64,796,5,1,796,566,0,1362,1,0,1,1,1,1,3,5,7,0,0,1993,1,2,480,3,3,2,40,30,0,320,0,0,0,700,2009,143000
"7",75,10084,1,4,2,8,5,2004,2005,186,4,3,5,3,3,6,1369,1,0,317,1686,5,1,1694,0,0,1694,1,0,2,0,3,1,4,7,7,1,4,2004,2,2,636,3,3,2,255,57,0,0,0,0,0,0,2007,307000
"8",80,10382,1,3,2,7,6,1973,1973,240,3,3,4,3,2,5,859,4,32,216,1107,5,1,1107,983,0,2090,1,0,2,1,3,1,3,7,7,2,3,1973,2,2,484,3,3,2,235,204,228,0,0,0,0,350,2009,200000
"9",51,6120,1,4,2,7,5,1931,1950,0,3,3,3,3,1,1,0,1,0,952,952,4,1,1022,752,0,1774,0,0,2,0,2,2,3,8,5,2,3,1931,1,2,468,2,3,2,90,0,205,0,0,0,0,0,2008,129900
"10",50,7420,1,4,2,5,6,1939,1950,0,3,3,3,3,1,6,851,1,0,140,991,5,1,1077,0,0,1077,1,0,1,0,2,2,3,5,7,2,3,1939,2,1,205,4,3,2,0,4,0,0,0,0,0,0,2008,118000
